S No,Station Name,Stn Code,"Old Station
Category","New Station
Category",Division,Zone,District,State,Coordinates
1,BHORAS BUDRUKH,BFJ,F,HG2,BSL,CR,JALGAON,MAHARASHTRA,
2,JAMNER,JMNR,E,HG2,BSL,CR,JALGAON,MAHARASHTRA,
3,ANJANGAON,ANJ,E,HG3,BSL,CR,AMRAVATI,MAHARASHTRA,
4,BANOSA,BASA,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA,
5,BHADSIVNI,BDKE,F,HG3,BSL,CR,WASHIM,MAHARASHTRA,
6,BHAGDARA,BGR,F,HG3,BSL,CR,JALGAON,MAHARASHTRA,
7,BORVIHIR,BRVR,F,HG3,BSL,CR,DHULE,MAHARASHTRA,
8,CHAMAK,CMK,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA,
9,DARWHA MOTI BAGH JN.,DWM,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA,
10,KAPUSTALNI,KTNI,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA,
11,KARANJA,KRJA,F,HG3,BSL,CR,WASHIM,MAHARASHTRA,
12,KARANJA TOWN,KRJT,F,HG3,BSL,CR,WASHIM,MAHARASHTRA,
13,KHUSTA BUZURG,KSBG,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA,
14,KINKHED,KQV,F,HG3,BSL,CR,AKOLA,MAHARASHTRA,
15,KOHDAD,KDK,F,HG3,BSL,CR,EAST NIMAR,MADHYA PRADESH,
16,KOKALDA,KXD,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA,
17,KOLHADI,KLHD,F,HG3,BSL,CR,JALGAON,MAHARASHTRA,
18,LADKHED,LDD,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA,
19,LAKHPURI,LPU,F,HG3,BSL,CR,AKOLA,MAHARASHTRA,
20,LASINA,LSN,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA,
21,LEHGAON,LGN,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA,
22,LING,LING,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA,
23,MANDURA,MNDA,F,HG3,BSL,CR,AKOLA,MAHARASHTRA,
24,MOHADI PRAGANE LALIN,MHAD,F,HG3,BSL,CR,DHULE,MAHARASHTRA,
25,MORDAD TANDA,MWK,F,HG3,BSL,CR,DHULE,MAHARASHTRA,
26,MURTIZAPUR TOWN,MZRT,F,HG3,BSL,CR,AKOLA,MAHARASHTRA,
27,NOWBAGH,NBGH,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA,
28,PAHUR,PHU,F,HG3,BSL,CR,JALGAON,MAHARASHTRA,
29,PIMPALGAON,PMGN,F,HG3,BSL,CR,JALGAON,MAHARASHTRA,
30,POHE,POHE,F,HG3,BSL,CR,WASHIM,MAHARASHTRA,
31,RAJMANE,RM,F,HG3,BSL,CR,JALGAON,MAHARASHTRA,
32,SANGWI,SWQ,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA,
33,SHENDURNI,SDRN,F,HG3,BSL,CR,JALGAON,MAHARASHTRA,
34,SHIRALA,SIRL,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA,
35,SOMTHAN,SMTN,F,HG3,BSL,CR,WASHIM,MAHARASHTRA,
36,TAPONA,TPN,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA,
37,VARKHEDI,VRKD,F,HG3,BSL,CR,JALGAON,MAHARASHTRA,
38,VILEGAON,VLN,F,HG3,BSL,CR,WASHIM,MAHARASHTRA,
39,WARUDKHED,WRD,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA,
40,PADLI,PI,NA,"Not open for
passenger
traffic",BSL,CR,NASHIK,MAHARASHTRA,
41,SAGPHATA,SXA,NA,"Not open for
passenger
traffic",BSL,CR,BURHANPUR,MADHYA PRADESH,
42,NASHIK ROAD,NK,A1,NSG2,BSL,CR,NASHIK,MAHARASHTRA,
43,AKOLA JN.,AK,A,NSG3,BSL,CR,AKOLA,MAHARASHTRA,
44,AMRAVATI,AMI,A,NSG3,BSL,CR,AMRAVATI,MAHARASHTRA,
45,BADNERA JN.,BD,A,NSG3,BSL,CR,AMRAVATI,MAHARASHTRA,
46,BHUSAVAL JN.,BSL,A,NSG3,BSL,CR,JALGAON,MAHARASHTRA,
47,JALGAON JN,JL,A,NSG3,BSL,CR,JALGAON,MAHARASHTRA,
48,KHANDWA,KNW,A,NSG3,BSL,CR,EAST NIMAR,MADHYA PRADESH,
49,MANMAD JN.,MMR,A,NSG3,BSL,CR,NASHIK,MAHARASHTRA,
50,SHEGAON,SEG,A,NSG3,BSL,CR,BULDHANA,MAHARASHTRA,
51,BURHANPUR,BAU,B,NSG4,BSL,CR,BURHANPUR,MADHYA PRADESH,
52,CHALISGAON JN,CSN,B,NSG4,BSL,CR,JALGAON,MAHARASHTRA,
53,MALKAPUR,MKU,B,NSG4,BSL,CR,BULDHANA,MAHARASHTRA,
54,BODWAD,BDWD,A,NSG5,BSL,CR,JALGAON,MAHARASHTRA,
55,DEVLALI,DVL,B,NSG5,BSL,CR,NASHIK,MAHARASHTRA,
56,DHULE,DHI,E,NSG5,BSL,CR,DHULE,MAHARASHTRA,
57,LASALGAON,LS,D,NSG5,BSL,CR,NASHIK,MAHARASHTRA,
58,MURTIZAPUR,MZR,B,NSG5,BSL,CR,AKOLA,MAHARASHTRA,
59,NANDGAON,NGN,D,NSG5,BSL,CR,NASHIK,MAHARASHTRA,
60,NANDURA,NN,D,NSG5,BSL,CR,BULDHANA,MAHARASHTRA,
61,NEPANAGAR,NPNR,D,NSG5,BSL,CR,BURHANPUR,MADHYA PRADESH,
62,NIPHAD,NR,D,NSG5,BSL,CR,NASHIK,MAHARASHTRA,
63,PACHORA JN.,PC,B,NSG5,BSL,CR,JALGAON,MAHARASHTRA,
64,RAVER,RV,D,NSG5,BSL,CR,JALGAON,MAHARASHTRA,
65,ACHALPUR,ELP,E,NSG6,BSL,CR,AMRAVATI,MAHARASHTRA,
66,ACHEGAON,ACG,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA,
67,ANKAI,ANK,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA,
68,ASIRGARH ROAD,AGQ,E,NSG6,BSL,CR,BURHANPUR,MADHYA PRADESH,
69,ASVALI,AV,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA,
70,BAGMAR,BMA,E,NSG6,BSL,CR,EAST NIMAR,MADHYA PRADESH,
71,BHADLI,BDI,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA,
72,BISWA BRIDGE,BIS,E,NSG6,BSL,CR,BULDHANA,MAHARASHTRA,
73,BORGAON,BGN,E,NSG6,BSL,CR,AKOLA,MAHARASHTRA,
74,CHANDNI,CDI,E,NSG6,BSL,CR,BURHANPUR,MADHYA PRADESH,
75,CHANDUR BAZAR,CNDB,A,NSG6,BSL,CR,AMRAVATI,MAHARASHTRA,
76,DONGARGAON,DGN,E,NSG6,BSL,CR,EAST NIMAR,MADHYA PRADESH,
77,DUSKHEDA,DSK,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA,
78,GAIGAON,GAO,E,NSG6,BSL,CR,AKOLA,MAHARASHTRA,
79,GALAN,GAA,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA,
80,GHOTI,GO,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA,
81,HIRAPUR,HPR,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA,
82,HISVAHAL,HSL,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA,
83,JALAMB JN.,JM,E,NSG6,BSL,CR,BULDHANA,MAHARASHTRA,
84,JAMDHA,JMD,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA,
85,KAJGAON,KJ,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA,
86,KASBE SUKENE,KBSN,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA,
87,KATEPURNA,KTP,E,NSG6,BSL,CR,AKOLA,MAHARASHTRA,
88,KHAMGAON,KMN,E,NSG6,BSL,CR,BULDHANA,MAHARASHTRA,
89,KHAMKHED,KMKD,E,NSG6,BSL,CR,BULDHANA,MAHARASHTRA,
90,KHERWADI,KW,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA,
91,KHUMGAON BURTI,KJL,E,NSG6,BSL,CR,BULDHANA,MAHARASHTRA,
92,KURAM,KUM,E,NSG6,BSL,CR,AKOLA,MAHARASHTRA,
93,LAHAVIT,LT,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA,
94,MAHEJI,MYJ,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA,
95,MANA,MANA,E,NSG6,BSL,CR,AKOLA,MAHARASHTRA,
96,MANDWA,MWA,E,NSG6,BSL,CR,EAST NIMAR,MADHYA PRADESH,
97,MHASAVAD,MWD,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA,
98,NAGARDEVLA,NGD,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA,
99,NAYDONGRI,NI,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA,
100,NEW AMRAVATI,NAVI,E,NSG6,BSL,CR,AMRAVATI,MAHARASHTRA,
101,NIMBHORA,NB,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA,
102,ODHA,ODHA,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA,
103,PANJHAN,PJN,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA,
104,PARAS,PS,E,NSG6,BSL,CR,AKOLA,MAHARASHTRA,
105,PARDHADE,PHQ,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA,
106,PIMPARKHED,PKE,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA,
107,SAVDA,SAV,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA,
108,SHIRSOLI,SS,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA,
109,SHIRUD,SHF,E,NSG6,BSL,CR,DHULE,MAHARASHTRA,
110,SHRI KSHETRA NAGJHARI,NGZ,E,NSG6,BSL,CR,BULDHANA,MAHARASHTRA,
111,SUMMIT,SUM,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA,
112,TAKLI,TKI,E,NSG6,BSL,CR,AMRAVATI,MAHARASHTRA,
113,UGAON,UGN,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA,
114,VAGHLI,VGL,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA,
115,VARANGAON,VNA,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA,
116,WADODA,WADO,F,NSG6,BSL,CR,BULDHANA,MAHARASHTRA,
117,WAGHODA,WGA,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA,
118,WALGAON,WLGN,E,NSG6,BSL,CR,AMRAVATI,MAHARASHTRA,
119,YAVATMAL,YTL,A,NSG6,BSL,CR,YAVATMAL,MAHARASHTRA,
120,YEULKHED,YAD,F,NSG6,BSL,CR,AKOLA,MAHARASHTRA,
121,PANEVADI,PNV,NA,POL Siding,BSL,CR,NASHIK,MAHARASHTRA,
122,ANKAI KILA,AAK,NA,"This is B class
station of
operating,
there facility
of Goods
shed.",BSL,CR,NASHIK,MAHARASHTRA,
123,CHAUK,CHOK,F,HG2,CSTM,CR,RAIGAD,MAHARASHTRA,
124,HAMARAPUR,HMRR,F,HG2,CSTM,CR,RAIGAD,MAHARASHTRA,
125,JUICHANDRA,JCNR,F,HG2,CSTM,CR,THANE,MAHARASHTRA,
126,KASU,KASU,F,HG2,CSTM,CR,RAIGAD,MAHARASHTRA,
127,NAVADE ROAD,NVRD,F,HG2,CSTM,CR,RAIGAD,MAHARASHTRA,
128,NIDI,NIDI,F,HG2,CSTM,CR,RAIGAD,MAHARASHTRA,
129,CHIKHLI,CKHS,F,HG3,CSTM,CR,RAIGAD,MAHARASHTRA,
130,MOHOPE,MHPE,F,HG3,CSTM,CR,RAIGAD,MAHARASHTRA,
131,OOMBERMALI,OMB,NA,HG3,CSTM,CR,THANE,MAHARASHTRA,
132,RASAYANI,RSYI,F,HG3,CSTM,CR,RAIGAD,MAHARASHTRA,
133,THANSIT,THS,NA,HG3,CSTM,CR,THANE,MAHARASHTRA,
134,C SHIVAJI MAH T,CSMT,A1,NSG1,CSTM,CR,MUMBAI,MAHARASHTRA,
135,DADAR,DR,A1,NSG1,CSTM,CR,MUMBAI,MAHARASHTRA,
136,KALYAN JN.,KYN,A1,NSG1,CSTM,CR,THANE,MAHARASHTRA,
137,LOKMANYA TILAK TERMI,LTT,A1,NSG1,CSTM,CR,MUMBAI,MAHARASHTRA,
138,PANVEL,PNVL,A,NSG1,CSTM,CR,RAIGAD,MAHARASHTRA,
139,THANE,TNA,A1,NSG1,CSTM,CR,THANE,MAHARASHTRA,
140,LONAVALA,LNL,A,NSG3,CSTM,CR,PUNE,MAHARASHTRA,
141,AMAN LODGE,ANLG,D,NSG4,CSTM,CR,RAIGAD,MAHARASHTRA,
142,BHIVANDI ROAD,BIRD,D,NSG4,CSTM,CR,THANE,MAHARASHTRA,
143,MATHERAN,MAE,B,NSG4,CSTM,CR,RAIGAD,MAHARASHTRA,
144,IGATPURI,IGP,B,NSG5,CSTM,CR,NASHIK,MAHARASHTRA,
145,ROHA,ROHA,D,NSG5,CSTM,CR,RAIGAD,MAHARASHTRA,
146,APTA,APTA,E,NSG6,CSTM,CR,RAIGAD,MAHARASHTRA,
147,JITE,JITE,E,NSG6,CSTM,CR,RAIGAD,MAHARASHTRA,
148,KALAMBOLI,KLMC,E,NSG6,CSTM,CR,RAIGAD,MAHARASHTRA,
149,KAMAN ROAD,KARD,E,NSG6,CSTM,CR,THANE,MAHARASHTRA,
150,KHANDALA,KAD,E,NSG6,CSTM,CR,RAIGAD,MAHARASHTRA,
151,KHARBAV,KHBV,E,NSG6,CSTM,CR,THANE,MAHARASHTRA,
152,NAGOTHANE,NGTN,NA,NSG6,CSTM,CR,RAIGAD,MAHARASHTRA,
153,NILAJE,NIIJ,E,NSG6,CSTM,CR,THANE,MAHARASHTRA,
154,PEN,PEN,E,NSG6,CSTM,CR,RAIGAD,MAHARASHTRA,
155,SOMTANE,SMNE,E,NSG6,CSTM,CR,RAIGAD,MAHARASHTRA,
156,TALOJA PANCHNAND,TPND,E,NSG6,CSTM,CR,RAIGAD,MAHARASHTRA,
157,AMBARNATH,ABH,C,SG1,CSTM,CR,THANE,MAHARASHTRA,
158,BADLAPUR,BUD,C,SG1,CSTM,CR,THANE,MAHARASHTRA,
159,BHANDUP,BND,C,SG1,CSTM,CR,MUMBAI,MAHARASHTRA,
160,DIVA,DIVA,C,SG1,CSTM,CR,THANE,MAHARASHTRA,
161,DOMBIVLI,DI,C,SG1,CSTM,CR,THANE,MAHARASHTRA,
162,GHATKOPAR,GC,C,SG1,CSTM,CR,MUMBAI,MAHARASHTRA,
163,KURLA JN.,CLA,C,SG1,CSTM,CR,MUMBAI,MAHARASHTRA,
164,MANKHURD,MNKD,C,SG1,CSTM,CR,MUMBAI,MAHARASHTRA,
165,MULUND,MLND,C,SG1,CSTM,CR,MUMBAI,MAHARASHTRA,
166,MUMBRA,MBQ,C,SG1,CSTM,CR,THANE,MAHARASHTRA,
167,SION,SIN,C,SG1,CSTM,CR,MUMBAI,MAHARASHTRA,
168,VIKHROLI,VK,C,SG1,CSTM,CR,MUMBAI,MAHARASHTRA,
169,AIRAVALI,AIRL,C,SG2,CSTM,CR,THANE,MAHARASHTRA,
170,AMBIVLI,ABY,C,SG2,CSTM,CR,THANE,MAHARASHTRA,
171,BELAPUR C.B.D,BEPR,C,SG2,CSTM,CR,THANE,MAHARASHTRA,
172,BYCULLA,BY,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA,
173,CHEMBUR,CMBR,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA,
174,CHINCHPOKLI,CHG,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA,
175,COTTON GREEN,CTGN,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA,
176,CURREY ROAD,CRD,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA,
177,GHANSOLI,GNSL,C,SG2,CSTM,CR,THANE,MAHARASHTRA,
178,GOVANDI,GV,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA,
179,"GURU
TEGHBAHADURNAGA",GTBN,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA,
180,JUINAGAR,JNJ,C,SG2,CSTM,CR,THANE,MAHARASHTRA,
181,KALVA,KLVA,C,SG2,CSTM,CR,THANE,MAHARASHTRA,
182,KANJUR MARG,KJRD,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA,
183,KARJAT,KJT,C,SG2,CSTM,CR,RAIGAD,MAHARASHTRA,
184,KHANDESHWAR,KNDS,C,SG2,CSTM,CR,RAIGAD,MAHARASHTRA,
185,KHARGHAR,KHAG,C,SG2,CSTM,CR,RAIGAD,MAHARASHTRA,
186,KINGS CIRCLE,KCE,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA,
187,KOPARKHAIRANE,KPHN,A,SG2,CSTM,CR,THANE,MAHARASHTRA,
188,MANSAROVAR,MANR,C,SG2,CSTM,CR,RAIGAD,MAHARASHTRA,
189,MASJID,MSD,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA,
190,MATUNGA,MTN,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA,
191,NAHUR,NHU,A,SG2,CSTM,CR,MUMBAI SUBURBAN,MAHARASHTRA,
192,NERUL,NEU,C,SG2,CSTM,CR,THANE,MAHARASHTRA,
193,SANDHURST ROAD,SNRD,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA,
194,SANPADA,SNCR,C,SG2,CSTM,CR,THANE,MAHARASHTRA,
195,SEAWOODSDARAVE,SWDV,C,SG2,CSTM,CR,THANE,MAHARASHTRA,
196,SEWRI,SVE,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA,
197,SHAHAD,SHAD,C,SG2,CSTM,CR,THANE,MAHARASHTRA,
198,THAKURLI,THK,C,SG2,CSTM,CR,THANE,MAHARASHTRA,
199,TILAK NAGAR,TKNG,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA,
200,TITWALA,TLA,C,SG2,CSTM,CR,THANE,MAHARASHTRA,
201,ULHASNAGAR,ULNR,C,SG2,CSTM,CR,THANE,MAHARASHTRA,
202,VADALA ROAD,VDLR,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA,
203,VASHI,VSH,C,SG2,CSTM,CR,THANE,MAHARASHTRA,
204,VIDYAVIHAR,VVH,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA,
205,VITHALWADI,VLDI,C,SG2,CSTM,CR,THANE,MAHARASHTRA,
206,ASANGAON,ASO,C,SG3,CSTM,CR,THANE,MAHARASHTRA,
207,ATGAON,ATG,C,SG3,CSTM,CR,THANE,MAHARASHTRA,
208,BAMANDONGRI,BMDR,C,SG3,CSTM,CR,RAIGAD,MAHARASHTRA,
209,BHIVPURI ROAD,BVS,C,SG3,CSTM,CR,RAIGAD,MAHARASHTRA,
210,CHUNABHATTI,CHF,C,SG3,CSTM,CR,MUMBAI,MAHARASHTRA,
211,DOCKYARD ROAD,DKRD,C,SG3,CSTM,CR,MUMBAI,MAHARASHTRA,
212,DOLAVALI,DLV,C,SG3,CSTM,CR,RAIGAD,MAHARASHTRA,
213,KASARA,KSRA,C,SG3,CSTM,CR,THANE,MAHARASHTRA,
214,KELAVLI,KLY,C,SG3,CSTM,CR,RAIGAD,MAHARASHTRA,
215,KHADAVLI,KDV,C,SG3,CSTM,CR,THANE,MAHARASHTRA,
216,KHARDI,KE,C,SG3,CSTM,CR,THANE,MAHARASHTRA,
217,KHARKOPAR,KARP,C,SG3,CSTM,CR,RAIGAD,MAHARASHTRA,
218,KHOPOLI,KHPI,C,SG3,CSTM,CR,RAIGAD,MAHARASHTRA,
219,KOPAR,KOPR,C,SG3,CSTM,CR,THANE,MAHARASHTRA,
220,LOWJEE,LWJ,C,SG3,CSTM,CR,RAIGAD,MAHARASHTRA,
221,NERAL,NRL,C,SG3,CSTM,CR,RAIGAD,MAHARASHTRA,
222,PALASDHARI,PDI,C,SG3,CSTM,CR,RAIGAD,MAHARASHTRA,
223,PAREL,PR,C,SG3,CSTM,CR,MUMBAI,MAHARASHTRA,
224,RABALE,RABE,C,SG3,CSTM,CR,THANE,MAHARASHTRA,
225,REAY ROAD,RRD,C,SG3,CSTM,CR,MUMBAI,MAHARASHTRA,
226,SHELU,SHLU,C,SG3,CSTM,CR,RAIGAD,MAHARASHTRA,
227,TURBHE,TUH,C,SG3,CSTM,CR,THANE,MAHARASHTRA,
228,VANGANI,VGI,C,SG3,CSTM,CR,THANE,MAHARASHTRA,
229,VASIND,VSD,C,SG3,CSTM,CR,THANE,MAHARASHTRA,
230,FOOD CORPORATION OF,FNSG,NA,FCI SIDING,NGP,CR,NAGPUR,MAHARASHTRA,
231,KHIRASDOH JN.,KUX,NA,GOODS SHED,NGP,CR,CHHINDWARA,MADHYA PRADESH,
232,RAJUR,RAJR,NA,GOODS SHED,NGP,CR,YAVATMAL,MAHARASHTRA,
233,GHUGUS,GGS,NA,"GOODS SHED
& SIDING",NGP,CR,CHANDRAPUR,MAHARASHTRA,
234,BARCHHI ROAD,BCRD,F,HG2,NGP,CR,BETUL,MADHYA PRADESH,
235,BARELIPAR,BQM,F,HG2,NGP,CR,CHHINDWARA,MADHYA PRADESH,
236,BENODA,BNOD,F,HG2,NGP,CR,AMRAVATI,MAHARASHTRA,
237,GANGIWARA,GNW,F,HG2,NGP,CR,CHHINDWARA,MADHYA PRADESH,
238,MARKADHANA,MKDN,F,HG2,NGP,CR,CHHINDWARA,MADHYA PRADESH,
239,MOWAD,MWAD,F,HG2,NGP,CR,NAGPUR,MAHARASHTRA,
240,VARUD,VADR,F,HG2,NGP,CR,WARDHA,MAHARASHTRA,
241,DARIMETA,DDMT,F,HG3,NGP,CR,CHHINDWARA,MADHYA PRADESH,
242,GHUDANKHAPA,GDKP,F,HG3,NGP,CR,CHHINDWARA,MADHYA PRADESH,
243,GONDWANA VISAPUR,GNVR,F,HG3,NGP,CR,CHANDRAPUR,MAHARASHTRA,
244,HATNAPUR,HTN,F,HG3,NGP,CR,BETUL,MADHYA PRADESH,
245,HIWARKHED,HKNT,F,HG3,NGP,CR,AMRAVATI,MAHARASHTRA,
246,LALAWADI,LLD,F,HG3,NGP,CR,BETUL,MADHYA PRADESH,
247,MAGARDOH,MGRD,F,HG3,NGP,CR,BETUL,MADHYA PRADESH,
248,MALKAPUR ROAD,MALK,F,HG3,NGP,CR,BETUL,MADHYA PRADESH,
249,TINKHEDA,TNH,F,HG3,NGP,CR,NAGPUR,MAHARASHTRA,
250,YENOR,YNA,HA,"no station for
passenger
traffic,
operting
station",NGP,CR,WARDHA,MAHARASHTRA,
251,NAGPUR,NGP,A1,NSG2,NGP,CR,NAGPUR,MAHARASHTRA,
252,BALHARSHAH,BPQ,A,NSG3,NGP,CR,CHANDRAPUR,MAHARASHTRA,
253,BETUL,BZU,A,NSG4,NGP,CR,BETUL,MADHYA PRADESH,
254,"CHANDRAPUR
(MAHARASH",CD,A,NSG4,NGP,CR,CHANDRAPUR,MAHARASHTRA,
255,SEVAGRAM,SEGM,B,NSG4,NGP,CR,WARDHA,MAHARASHTRA,
256,AJNI,AJNI,D,NSG5,NGP,CR,NAGPUR,MAHARASHTRA,
257,AMLA JN.,AMLA,D,NSG5,NGP,CR,BETUL,MADHYA PRADESH,
258,BHANDAK,BUX,D,NSG5,NGP,CR,CHANDRAPUR,MAHARASHTRA,
259,BHUGAON,BPK,E,NSG5,NGP,CR,WARDHA,MAHARASHTRA,
260,CHANDUR,CND,D,NSG5,NGP,CR,AMRAVATI,MAHARASHTRA,
261,DHAMANGAON,DMN,B,NSG5,NGP,CR,AMRAVATI,MAHARASHTRA,
262,GHORADONGRI,GDYA,D,NSG5,NGP,CR,BETUL,MADHYA PRADESH,
263,HINGANGHAT,HGT,D,NSG5,NGP,CR,WARDHA,MAHARASHTRA,
264,JUNNOR DEO,JNO,D,NSG5,NGP,CR,CHHINDWARA,MADHYA PRADESH,
265,KATOL,KATL,D,NSG5,NGP,CR,NAGPUR,MAHARASHTRA,
266,MULTAI,MTY,D,NSG5,NGP,CR,BETUL,MADHYA PRADESH,
267,NARKHER,NRKR,D,NSG5,NGP,CR,NAGPUR,MAHARASHTRA,
268,PANDHURNA,PAR,D,NSG5,NGP,CR,CHHINDWARA,MADHYA PRADESH,
269,PARASIA,PUX,D,NSG5,NGP,CR,CHHINDWARA,MADHYA PRADESH,
270,PULGAON JN.,PLO,D,NSG5,NGP,CR,WARDHA,MAHARASHTRA,
271,WARDHA JN.,WR,A,NSG5,NGP,CR,WARDHA,MAHARASHTRA,
272,WARORA,WRR,D,NSG5,NGP,CR,CHANDRAPUR,MAHARASHTRA,
273,BABUPETH,BUPH,E,NSG6,NGP,CR,CHANDRAPUR,MAHARASHTRA,
274,BARBATPUR,BBTR,E,NSG6,NGP,CR,HOSHANGABAD,MADHYA PRADESH,
275,BARSALI,BYS,E,NSG6,NGP,CR,BETUL,MADHYA PRADESH,
276,BHARATWADA,BWRA,E,NSG6,NGP,CR,NAGPUR,MAHARASHTRA,
277,BORDHAI,BXY,E,NSG6,NGP,CR,CHHINDWARA,MADHYA PRADESH,
278,BORKHEDI,BOK,E,NSG6,NGP,CR,NAGPUR,MAHARASHTRA,
279,BUTI BORI,BTBR,E,NSG6,NGP,CR,NAGPUR,MAHARASHTRA,
280,CHICHONDA,CCD,E,NSG6,NGP,CR,BETUL,MADHYA PRADESH,
281,CHIKNI ROAD,CKNI,E,NSG6,NGP,CR,CHANDRAPUR,MAHARASHTRA,
282,DAHEGAON,DAE,E,NSG6,NGP,CR,WARDHA,MAHARASHTRA,
283,DHARAKHOH,DHQ,E,NSG6,NGP,CR,BETUL,MADHYA PRADESH,
284,DHODRA MOHAR,DOH,E,NSG6,NGP,CR,BETUL,MADHYA PRADESH,
285,GODHANI,GNQ,E,NSG6,NGP,CR,NAGPUR,MAHARASHTRA,
286,GUMGAON,GMG,E,NSG6,NGP,CR,NAGPUR,MAHARASHTRA,
287,HIRDAGARH,HRG,E,NSG6,NGP,CR,CHHINDWARA,MADHYA PRADESH,
288,IKLEHRA,IKR,E,NSG6,NGP,CR,CHHINDWARA,MADHYA PRADESH,
289,JAMBARA,JMV,E,NSG6,NGP,CR,BETUL,MADHYA PRADESH,
290,JAULKHERA,JKR,E,NSG6,NGP,CR,BETUL,MADHYA PRADESH,
291,KALA AKHAR,KQE,E,NSG6,NGP,CR,HOSHANGABAD,MADHYA PRADESH,
292,KALAMBHA,KLBA,E,NSG6,NGP,CR,NAGPUR,MAHARASHTRA,
293,KALMESHWAR,KSWR,E,NSG6,NGP,CR,NAGPUR,MAHARASHTRA,
294,KAOTHA,KAOT,E,NSG6,NGP,CR,WARDHA,MAHARASHTRA,
295,KAYAR,KAYR,E,NSG6,NGP,CR,YAVATMAL,MAHARASHTRA,
296,KHAPRI,KRI,E,NSG6,NGP,CR,NAGPUR,MAHARASHTRA,
297,KIRATGARH,KRTH,E,NSG6,NGP,CR,HOSHANGABAD,MADHYA PRADESH,
298,KOHLI,KOHL,E,NSG6,NGP,CR,NAGPUR,MAHARASHTRA,
299,LINGTI,LNT,E,NSG6,NGP,CR,YAVATMAL,MAHARASHTRA,
300,MAJRI JN.,MJRI,D,NSG6,NGP,CR,CHANDRAPUR,MAHARASHTRA,
301,MAJRIKHADAN,MJKN,E,NSG6,NGP,CR,CHANDRAPUR,MAHARASHTRA,
302,MALKHED,MLR,E,NSG6,NGP,CR,AMRAVATI,MAHARASHTRA,
303,MARAMJHIRI,MJY,E,NSG6,NGP,CR,BETUL,MADHYA PRADESH,
