S No,Station Name,Stn Code,Old Station Category,New Station Category,Division,Zone,District,State,Station (bn),date of official opening,operator,connecting line,coordinate location
617,SEHARA BAZAR PH,SRBZ,,,ADRA,SER,PASCHIM BARDHAMAN,WEST BENGAL,সেহারাবাজার,1916,Adra railway division,Bankura–Masagram line,23.1099426/87.8044503
618,SHYAMSUNDAR PH,SHMR,,,ADRA,SER,PASCHIM BARDHAMAN,WEST BENGAL,শ্যামসুন্দর,1916,Adra railway division,Bankura–Masagram line,23.0814658/87.8606399
619,ANCHURI P.H.,ANCR,,,ADRA,SER,BANKURA,WEST BENGAL,আঁচুরি,,Adra railway division,Kharagpur–Bankura–Adra line,23.283904/86.993174
620,BELBONI PH,BEX,,,ADRA,SER,BANKURA,WEST BENGAL,বেলবনী,1916,Adra railway division,Bankura–Masagram line,23.2764077/87.1521123
621,BERUGRAM,BUGM,,,ADRA,SER,PASCHIM BARDHAMAN,WEST BENGAL,বেড়ুগ্রাম,,Adra railway division,Bankura–Masagram line,23.1043622/87.9842079
622,BHADUTALA,BUTA,,,ADRA,SER,MEDINIPUR WEST,WEST BENGAL,জঙ্গলমহল ভাদুতলা,,Adra railway division,Kharagpur–Bankura–Adra line,22.485657/87.3208
623,BIKNA PH,BKNO,,,ADRA,SER,BANKURA,WEST BENGAL,,,,,
624,BOKRA PH,BOKA,,,ADRA,SER,PASCHIM BARDHAMAN,WEST BENGAL,,,,,
625,BRINDABANPUR PH,BDPR,,,ADRA,SER,BANKURA,WEST BENGAL,বৃন্দাবনপুর,1916,Adra railway division,Bankura–Masagram line,23.3075355/87.2802702
626,CHANDAR,CNRF,,,ADRA,SER,BANKURA,WEST BENGAL,ছান্দার,1916,Adra railway division,Bankura–Masagram line,23.3030368/87.2505239
627,DAMRUGHUTU,DRGU,,,ADRA,SER,PURULIA,WEST BENGAL,ডমরুঘুটু,,Adra railway division,,23.45136/86.08981
628,GOPINATHPUR,GOR,,,ADRA,SER,PASCHIM BARDHAMAN,WEST BENGAL,গোপীনাথপুর,1916,Adra railway division,Bankura–Masagram line,23.0880434/87.847654
629,GRAMDADPUR PH,GMDP,,,ADRA,SER,PASCHIM BARDHAMAN,WEST BENGAL,গ্রামদাদপুর,,Adra railway division,Bankura–Masagram line,23.1156011/87.9984914
630,GUIRSARANGA PH,GSQ,,,ADRA,SER,PASCHIM BARDHAMAN,WEST BENGAL,গুইর সারঙ্গ,1916,Adra railway division,Bankura–Masagram line,23.1262908/87.7533603
631,HABASPUR PH,HPUR,,,ADRA,SER,PASCHIM BARDHAMAN,WEST BENGAL,হাবাসপুর,,Adra railway division,Bankura–Masagram line,23.1210669/88.0055261
632,KAIYAR PH,KYB,,,ADRA,SER,PASCHIM BARDHAMAN,WEST BENGAL,কাইয়ুর,1916,Adra railway division,Bankura–Masagram line,23.121463/87.772326
633,KALISEN PH,KISN,,,ADRA,SER,BANKURA,WEST BENGAL,কালিসেন,,Adra railway division,Kharagpur–Bankura–Adra line,23.1816003962/87.1624991003
634,MUSTAPHA CHAK,MFCK,,,ADRA,SER,PASCHIM BARDHAMAN,WEST BENGAL,,,,,
635,NOBANDA PH,NOB,,,ADRA,SER,BANKURA,WEST BENGAL,নবান্দা,1916,Adra railway division,Bankura–Masagram line,23.2703936/87.1386622
636,SHANKRUL PH,SHKL,,,ADRA,SER,BANKURA,WEST BENGAL,শাঁকরুল,1916,Adra railway division,Bankura–Masagram line,23.141973/87.6545852
637,SRIRAMPUR PH,SIMR,,,ADRA,SER,BANKURA,WEST BENGAL,শ্রীরামপুর হল্ট,1916,Adra railway division,Bankura–Masagram line,23.3243799/87.3192213
638,MOHISILA,MOH,,,ADRA,SER,PASCHIM BARDHAMAN,WEST BENGAL,মহিষীলা,,Adra railway division,,23.6629651/86.9716573
639,CHOURASHI,CRS,,,ADRA,SER,PURULIA,WEST BENGAL,চৌরাশি,,Adra railway division,Ramkanali–Chourashi branch line,23.6314287/86.7918641
640,RADHANAGAR,RDR,,,ADRA,SER,PURBA BARDHAMAN,WEST BENGAL,রাধানগর,,Adra railway division,,23.683447/86.858183
641,ADRA,ADRA,,,ADRA,SER,PURULIA,WEST BENGAL,আদ্রা জংশন,1891,Adra railway division,Asansol–Tatanagar–Kharagpur line-Kharagpur–Bankura–Adra line-Adra–Bokaro branch line,23.495992/86.674665
642,BANKURA,BQA,,,ADRA,SER,BANKURA,WEST BENGAL,বাঁকুড়া জংশন,,Adra railway division,Kharagpur–Bankura–Adra line-Bankura–Masagram line,23.2243871/87.0746875
643,BISHNUPUR,VSU,,,ADRA,SER,BANKURA,WEST BENGAL,বিষ্ণুপুর,,Adra railway division,Kharagpur–Bankura–Adra line-Sheoraphuli–Bishnupur branch line,23.0651/87.3013
644,PURULIA JN.,PRR,,,ADRA,SER,PURULIA,WEST BENGAL,পুরুলিয়া জংশন,1890,Adra railway division,Asansol–Tatanagar–Kharagpur line-Purulia–Ranchi Line,23.324911/86.37787
645,ANARA,ANR,,,ADRA,SER,PURULIA,WEST BENGAL,আনারা জংশন,,Adra railway division,Asansol–Tatanagar–Kharagpur line-Anara–Rukni branch line,23.481082/86.559763
646,BARABHUM,BBM,,,ADRA,SER,PURULIA,WEST BENGAL,বরাভূম,,Adra railway division,Asansol–Tatanagar–Kharagpur line,23.0912864/86.2112372
647,BURNPUR,BURN,,,ADRA,SER,PASCHIM BARDHAMAN,WEST BENGAL,বার্ণপুর,,Adra railway division,Asansol–Tatanagar–Kharagpur line,23.6724/86.9393
648,CHANDRAKONA ROAD,CDGR,,,ADRA,SER,MEDINIPUR WEST,WEST BENGAL,চন্দ্রকোণা রোড,,Adra railway division,Kharagpur–Bankura–Adra line,22.739076/87.340588
649,GARBETA,GBA,,,ADRA,SER,MEDINIPUR WEST,WEST BENGAL,গড়বেতা,,Adra railway division,Kharagpur–Bankura–Adra line,22.844562/87.320972
650,JOYCHANDI PAHAR,JOC,,,ADRA,SER,PURULIA,WEST BENGAL,জয়চণ্ডী পাহাড়,,Adra railway division,Asansol–Tatanagar–Kharagpur line,23.5168/86.6809
651,MADHUKUNDA,MDKD,,,ADRA,SER,PURULIA,WEST BENGAL,মধুকুণ্ডা,1891,Adra railway division,Asansol–Tatanagar–Kharagpur line,23.6269/86.8695
652,MURADI,MDF,,,ADRA,SER,PURULIA,WEST BENGAL,মুরাডি,1891,Adra railway division,Asansol–Tatanagar–Kharagpur line,23.5931/86.8093
653,SALBONI,SLB,,,ADRA,SER,MEDINIPUR WEST,WEST BENGAL,শালবনী,,Adra railway division,Kharagpur–Bankura–Adra line,22.640971/87.321899
654,BAGALIA,BGA,,,ADRA,SER,PURULIA,WEST BENGAL,বাগালিয়া,,Adra railway division,Asansol–Tatanagar–Kharagpur line,23.44693617/86.51904643
655,BERO,BERO,,,ADRA,SER,PURULIA,WEST BENGAL,বেরো,1891,Adra railway division,Asansol–Tatanagar–Kharagpur line,23.548271/86.726609
656,BIRAMDIH,BRMD,,,ADRA,SER,PURULIA,WEST BENGAL,বিরামডি,,Adra railway division,Asansol–Tatanagar–Kharagpur line,23.04578437/86.19920954
657,BOWAICHANDI PH,BWCN,,,ADRA,SER,PURBA BARDHAMAN,WEST BENGAL,,,,,
658,CHHARRA,CHRA,,,ADRA,SER,PURULIA,WEST BENGAL,ছররা,,Adra railway division,Asansol–Tatanagar–Kharagpur line,23.375747/86.422994
659,CHHATNA,CJN,,,ADRA,SER,BANKURA,WEST BENGAL,ছাতনা,,Adra railway division,Kharagpur–Bankura–Adra line,23.305386/86.975734
660,DAMODAR JN.,DMA,,,ADRA,SER,PASCHIM BARDHAMAN,WEST BENGAL,দামোদর,1891,Adra railway division,Asansol–Tatanagar–Kharagpur line,23.651021/86.908517
661,GARH-DHRUBBESWAR,GRB,,,ADRA,SER,PURULIA,WEST BENGAL,গড়ধ্রুবেশ্বর,,Adra railway division,Asansol–Tatanagar–Kharagpur line,23.509341/86.617006
662,GARHJAIPUR,GUG,,,ADRA,SER,PURULIA,WEST BENGAL,গড় জয়পুর,,Adra railway division,Purulia–Ranchi Line,23.4144679/86.1472613
663,GODAPEASAL,GSL,,,ADRA,SER,MEDINIPUR WEST,WEST BENGAL,গোদাপিয়াশাল,,Adra railway division,Kharagpur–Bankura–Adra line,22.530677/87.320806
664,GOURINATHDHAM,GTD,,,ADRA,SER,PURULIA,WEST BENGAL,গৌরীনাথধাম,1907,Adra railway division,Purulia–Ranchi Line,23.3958/86.2746
665,INDRABIL,IBL,,,ADRA,SER,PURULIA,WEST BENGAL,ইন্দ্রবিল,,Adra railway division,Kharagpur–Bankura–Adra line,23.445294/86.781647
666,JHANTIPAHARI,JPH,,,ADRA,SER,BANKURA,WEST BENGAL,ঝাঁটিপাহাড়ী,,Adra railway division,Kharagpur–Bankura–Adra line,23.353363/86.904491
667,KANTADIH,KTD,,,ADRA,SER,PURULIA,WEST BENGAL,কান্টাডি,,Adra railway division,Asansol–Tatanagar–Kharagpur line,23.21838/86.29629
668,KOTSHILA,KSX,,,ADRA,SER,PURULIA,WEST BENGAL,কোটশিলা জংশন,,Adra railway division,Purulia–Ranchi Line,23.411691/86.079548
669,KUSTAUR,KSU,,,ADRA,SER,PURULIA,WEST BENGAL,কুস্তাউর,,Adra railway division,Asansol–Tatanagar–Kharagpur line,23.430416/86.498336
670,ONDAGRAM,ODM,,,ADRA,SER,BANKURA,WEST BENGAL,ওন্দাগ্রাম,,Adra railway division,Kharagpur–Bankura–Adra line,23.147974/87.202275
671,PIARDOBA,PBA,,,ADRA,SER,BANKURA,WEST BENGAL,পিয়ারডোবা,,Adra railway division,Kharagpur–Bankura–Adra line,22.956881/87.322164
672,PUNDAG,PNW,,,ADRA,SER,PURULIA,WEST BENGAL,পুনদাগ,,Adra railway division,,23.508909/86.089576
673,RAMKANALI JN.,RKI,,,ADRA,SER,PURULIA,WEST BENGAL,রামকানালী জংশন,1891,Adra railway division,Asansol–Tatanagar–Kharagpur line-Ramkanali–Chourashi branch line,23.579891/86.762336
674,RAMSAGAR,RSG,,,ADRA,SER,BANKURA,WEST BENGAL,রামসাগর,,Adra railway division,Kharagpur–Bankura–Adra line,23.106248/87.277063
675,RUKNI,RUI,,,ADRA,SER,PURULIA,WEST BENGAL,রুকনী জংশন,,Adra railway division,Adra–Bokaro branch line-Anara–Rukni branch line,23.551806/86.548025
676,SANKA,SNKR,,,ADRA,SER,PURULIA,WEST BENGAL,সাঁকা,,Adra railway division,Adra–Bokaro branch line,23.52693/86.616164
677,SANTALDIH,SNTD,,,ADRA,SER,PURULIA,WEST BENGAL,সান্তালডি,,Adra railway division,Adra–Bokaro branch line,23.596661/86.483123
678,SIRJAM,SRJM,,,ADRA,SER,PURULIA,WEST BENGAL,সিরজাম,,Adra railway division,Kharagpur–Bankura–Adra line,23.403864/86.835097
679,SONAMUKHI,SONA,,,ADRA,SER,BANKURA,WEST BENGAL,সোনামুখী,1916,Adra railway division,Bankura–Masagram line,23.2935418/87.4148098
680,TAMNA,TAO,,,ADRA,SER,PURULIA,WEST BENGAL,টামনা,,Adra railway division,Asansol–Tatanagar–Kharagpur line,23.268988/86.352313
681,URMA,URMA,,,ADRA,SER,PURULIA,WEST BENGAL,উরমা,,Adra railway division,Asansol–Tatanagar–Kharagpur line,23.157777/86.253775
682,DURGACHAK TOWN,DZKT,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,দুর্গাচক টাউন,1968,Kharagpur railway division,Panskura–Haldia branch line,22.066831/88.136032
683,JALALSI P.H.,JLI,,,KGP,SER,HOWRAH,WEST BENGAL,জালালসি,,Kharagpur railway division,Santragachi-Amta Branch Line,22.5882037/88.0576891
684,MAHENDRALALNAGAR,MHLN,,,KGP,SER,HOWRAH,WEST BENGAL,মহেন্দ্রলাল নগর,,Kharagpur railway division,Santragachi-Amta Branch Line,22.6434398/88.0916405
685,MUNSIRHAT P.H.,MNH,,,KGP,SER,HOWRAH,WEST BENGAL,মুন্সীরহাট,,Kharagpur railway division,Santragachi-Amta Branch Line,22.6489476/88.0955458
686,PANTIHAL,PTHL,,,KGP,SER,HOWRAH,WEST BENGAL,পাঁতিহাল,,Kharagpur railway division,Santragachi-Amta Branch Line,22.6595467/88.1144339
687,ANGUA P.H.,AGV,,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,আঙ্গুয়া,,Kharagpur railway division,Kharagpur–Puri line,21.892582/87.269923
688,ASHAPURNA DEVI,APRD,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,আশাপূর্ণা দেবী,2004,Kharagpur railway division,Tamluk–Digha branch line,21.727401/87.638201
689,BADALPUR P.H,BDPA,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,বাদলপুর,2004,Kharagpur railway division,Tamluk–Digha branch line,21.710487/87.616227
690,BANDAR PH,BAAR,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,বন্দর,1968,Kharagpur railway division,Panskura–Haldia branch line,22.052122/88.086816
691,BANSTOLA PH,BNB,,,KGP,SER,JHARGRAM,WEST BENGAL,বাঁশতলা,,Kharagpur railway division,Asansol–Tatanagar–Kharagpur line,22.4209740526/87.062669671
692,DANSI PH,DNI,,,KGP,SER,HOWRAH,WEST BENGAL,ডাঁসী,,Kharagpur railway division,Santragachi-Amta Branch Line,22.6222708/88.2660781
693,DOMJUR ROAD,DMJR,,,KGP,SER,HOWRAH,WEST BENGAL,ডোমজুর রোড,,Kharagpur railway division,Santragachi-Amta Branch Line,22.6357236/88.2222319
694,DUAN,DUAN,,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,ডুঁয়া,,Kharagpur railway division,Howrah–Kharagpur line,22.354105/87.588218
695,HARISHDADPUR PH,HDC,,,KGP,SER,HOWRAH,WEST BENGAL,হরিশদাদপুর,,Kharagpur railway division,Santragachi-Amta Branch Line,22.57511/88.0435458
696,HERIA P.H.,HEN,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,হেঁড়িয়া,2004,Kharagpur railway division,Tamluk–Digha branch line,21.974916/87.795566
697,JHALUARBAR,JLBR,,,KGP,SER,HOWRAH,WEST BENGAL,ঝালুয়ারবেড়,,Kharagpur railway division,Santragachi-Amta Branch Line,22.6276133/88.2524765
698,KHATKURA P.H.,KATB,,,KGP,SER,JHARGRAM,WEST BENGAL,খাটকুরা,,Kharagpur railway division,Asansol–Tatanagar–Kharagpur line,22.477455/86.930224
699,KONA PH,KONA,,,KGP,SER,HOWRAH,WEST BENGAL,কোনা,,Kharagpur railway division,Santragachi-Amta Branch Line,22.6182622/88.2967748
700,LAVAN SG SMARAK,LSGS,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,লবণ সত্যাগ্রহ স্মারক,2004,Kharagpur railway division,Tamluk–Digha branch line,22.11493275/87.8715031
701,MAKARDAHA,MDC,,,KGP,SER,HOWRAH,WEST BENGAL,মাকড়দহ,,Kharagpur railway division,Santragachi-Amta Branch Line,22.628756/88.236759
702,NACHINDA P.H.,NCN,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,নাচিন্দা,2004,Kharagpur railway division,Tamluk–Digha branch line,21.881341/87.754966
703,SAHID MATANGINI,SMTG,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,শহীদ মাতঙ্গিনী,1968,Kharagpur railway division,Panskura–Haldia branch line,22.301974/87.908115
704,SATISH SAMANTA P.H.,SSPH,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,সতীশ সামন্ত হল্ট,1968,Kharagpur railway division,Panskura–Haldia branch line,22.194485/87.987567
705,SITALPUR (BENGAL),STLB,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,শীতলপুর,2004,Kharagpur railway division,Tamluk–Digha branch line,21.774098/87.672822
706,SUJALPUR P.H.,SJPA,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,সুজালপুর,2004,Kharagpur railway division,Tamluk–Digha branch line,21.763167/87.657497
707,TIKRA P.H.,TKRA,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,টিকরা,2004,Kharagpur railway division,Tamluk–Digha branch line,21.66408/87.531081
708,DAKSHINBARI,DKB,,,KGP,SER,HOWRAH,WEST BENGAL,দক্ষিণবাড়ী,,Kharagpur railway division,Santragachi-Amta Branch Line,22.6561086/88.1825218
709,PADMAPUKUR,PDPK,,,KGP,SER,HOWRAH,WEST BENGAL,পদ্মপুকুর,,Kharagpur railway division,Shalimar–Santragachi Branch Line,22.5684157/88.3056857
710,COSSYE,CSY,,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,কাঁসাই হল্ট,,Kharagpur railway division,Kharagpur–Bankura–Adra line,22.4068330073/87.2896485193
711,HALDIA DOCK COMP. GE,HDCG,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,,,,,
712,KHARAGPUR WORKSHOP,KGPW,,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,,,,,
713,HOWRAH SOUTH N C,HWHS,,,KGP,SER,HOWRAH,WEST BENGAL,,,,,
714,KHARAGPUR,KGP,,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,খড়গপুর জংশন,1898,Kharagpur railway division,Howrah–Kharagpur line-Asansol–Tatanagar–Kharagpur line-Kharagpur–Puri line-Kharagpur–Bankura–Adra line,22.3399/87.3249
715,SHALIMAR,SHM,,,KGP,SER,HOWRAH,WEST BENGAL,শালিমার,2000,Kharagpur railway division,Shalimar–Santragachi Branch Line,22.556388888889/88.314722222222
716,DIGHA,DGHA,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,দীঘা,1992,Kharagpur railway division,Tamluk–Digha branch line,21.6229/87.5082
717,JHARGRAM,JGM,,,KGP,SER,JHARGRAM,WEST BENGAL,ঝাড়গ্রাম,,Kharagpur railway division,Asansol–Tatanagar–Kharagpur line,22.4549644863/86.9985316705
718,MIDNAPORE,MDN,,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,মেদিনীপুর,,Kharagpur railway division,Kharagpur–Bankura–Adra line,22.42498/87.307379
719,BELDA,BLDA,,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,,,,,
720,HIJLI,HIJ,,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,হিজলি,,Kharagpur railway division,Kharagpur–Puri line,22.319921/87.320169
721,KANTHI F.S.,KATI,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,কাঁথি,2004,Kharagpur railway division,Tamluk–Digha branch line,21.788743/87.734128
722,BAKHRABAD,VKD,,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,বাখরাবাদ,,Kharagpur railway division,Kharagpur–Puri line,22.118541/87.36345
723,BENAPUR,BPE,,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,বেনাপুর,,Kharagpur railway division,Kharagpur–Puri line,22.27135231/87.37624084
724,DANTAN,DNT,,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,দাঁতন,,Kharagpur railway division,Kharagpur–Puri line,21.930376/87.284055
725,DESHAPRAN P.H.,DSPN,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,দেশপ্রাণ,2004,Kharagpur railway division,Tamluk–Digha branch line,22.029347/87.817047
726,GIDHNI,GII,,,KGP,SER,JHARGRAM,WEST BENGAL,গিধনি,,Kharagpur railway division,Asansol–Tatanagar–Kharagpur line,22.488472/86.853201
727,KALAIKUNDA,KKQ,,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,কলাইকুণ্ডা,,Kharagpur railway division,Asansol–Tatanagar–Kharagpur line,22.32945442/87.24399951
728,KHEMASULI PH,KSO,,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,খেমাশুলি,,Kharagpur railway division,Asansol–Tatanagar–Kharagpur line,22.337768/87.184863
729,NANDHAKUMAR,NDKR,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,নন্দকুমার,2004,Kharagpur railway division,Tamluk–Digha branch line,22.1909239649/87.927872196
730,NARAYANGARH,NYA,,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,নারায়ণগড়,,Kharagpur railway division,Kharagpur–Puri line,22.174233/87.380456
731,NIKURSINI,NSI,,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,নেকুরসেনি,,Kharagpur railway division,Kharagpur–Puri line,22.004654/87.306186
732,RAMNAGAR (BENGAL)P.H,RMRB,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,রামনগর,2004,Kharagpur railway division,Tamluk–Digha branch line,21.677451/87.55405
733,SARDIHA,SUA,,,KGP,SER,JHARGRAM,WEST BENGAL,সারদিয়া,,Kharagpur railway division,Asansol–Tatanagar–Kharagpur line,22.380612/87.123645
734,MECHEDA,MCA,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,মেছেদা,,Kharagpur railway division,Howrah–Kharagpur line,22.414105/87.85883
735,SANTRAGACHI JN,SRC,,,KGP,SER,HOWRAH,WEST BENGAL,সাঁতরাগাছি জংশন,,Howrah Municipal Corporation,Kharagpur railway division,22.5838/88.2843
736,BAGNAN,BZN,,,KGP,SER,HOWRAH,WEST BENGAL,বাগনান,1900,Kharagpur railway division,Howrah–Kharagpur line,22.462515/87.970711
737,PANSKURA,PKU,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,পাঁশকুড়া জংশন,1900,Kharagpur railway division,Howrah–Kharagpur line-Panskura–Haldia branch line,22.393102763/87.7430237079
738,ABADA,ABB,,,KGP,SER,HOWRAH,WEST BENGAL,আবাদা,,Kharagpur railway division,Howrah–Kharagpur line,22.547877/88.199392
739,AMTA,AMTA,,,KGP,SER,HOWRAH,WEST BENGAL,,,,,
740,ANDUL,ADL,,,KGP,SER,HOWRAH,WEST BENGAL,আন্দুল,1900,Kharagpur railway division,Howrah–Kharagpur line,22.575169/88.239643
741,BALICHAK,BCK,,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,বালিচক,,Kharagpur railway division,Howrah–Kharagpur line,22.35818589/87.55335416
742,BANKRA NAYABAZ,BKNM,,,KGP,SER,HOWRAH,WEST BENGAL,বাঁকড়া নয়াবাজ,,Kharagpur railway division,Santragachi-Amta Branch Line,22.5955199/88.2772604
743,BARDA,BRDB,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,বরদা,1968,Kharagpur railway division,Panskura–Haldia branch line,22.15295838/88.08753041
744,BARGACHIA,BAC,,,KGP,SER,HOWRAH,WEST BENGAL,বড়গাছিয়া,,Kharagpur railway division,Santragachi-Amta Branch Line,22.6668087/88.1383538
745,BASULYA SUTAHATA,BYSA,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,বাসুলিয়া সুতাহাটা,1968,Kharagpur railway division,Panskura–Haldia branch line,22.12030128/88.13056325
746,BAURIA JN.,BVA,,,KGP,SER,HOWRAH,WEST BENGAL,বাউড়িয়া,1900,Kharagpur railway division,Howrah–Kharagpur line,22.5035911202/88.1635216052
747,BHOGPUR,BOP,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,ভোগপুর,,Kharagpur railway division,Howrah–Kharagpur line,22.401522/87.809079
748,BIRSHIBPUR,BSBP,,,KGP,SER,HOWRAH,WEST BENGAL,বীর শিবপুর,,Kharagpur railway division,Howrah–Kharagpur line,22.473359/88.053112
749,CHENGEL,CGA,,,KGP,SER,HOWRAH,WEST BENGAL,চেঙ্গাইল,1900,Kharagpur railway division,Howrah–Kharagpur line,22.486845/88.13891
750,DASHNAGAR,DSNR,,,KGP,SER,HOWRAH,WEST BENGAL,দাশনগর,1900,Kharagpur railway division,Howrah–Kharagpur line,22.598094/88.3077615
751,DEULTI,DTE,,,KGP,SER,HOWRAH,WEST BENGAL,দেউলটি,,Kharagpur railway division,Howrah–Kharagpur line,22.452857/87.914003
752,DOMJUR,DJR,,,KGP,SER,HOWRAH,WEST BENGAL,ডোমজুড়,,Kharagpur railway division,Santragachi-Amta Branch Line,22.6430116/88.2094619
753,DURGACHAK,DZK,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,দুর্গাচক,1968,Kharagpur railway division,Panskura–Haldia branch line,22.082011/88.155274
754,FULESWAR,FLR,,,KGP,SER,HOWRAH,WEST BENGAL,ফুলেশ্বর,,Kharagpur railway division,Howrah–Kharagpur line,22.4778756365/88.1160488959
755,GHORAGHATA,GGTA,,,KGP,SER,HOWRAH,WEST BENGAL,ঘোড়াঘাটা,,Kharagpur railway division,Howrah–Kharagpur line,22.458315/87.94424
756,GIRI MAIDAN,GMDN,,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,গিরি ময়দান,,Kharagpur railway division,Kharagpur–Bankura–Adra line,22.340478/87.306151
757,GOKULPUR,GKL,,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,গোকুলপুর,,Kharagpur railway division,Kharagpur–Bankura–Adra line,22.375923/87.293716
758,HALDIA,HLZ,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,হলদিয়া,1968,Kharagpur railway division,Panskura–Haldia branch line,22.045284/88.06589
759,HAUR,HAUR,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,হাউর,,Kharagpur railway division,Howrah–Kharagpur line,22.365254/87.655069
760,JAKPUR,JPR,,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,জকপুর,,Kharagpur railway division,Howrah–Kharagpur line,22.362509/87.389853
761,KESHABPUR,KSBP,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,কেশবপুর,1968,Kharagpur railway division,Panskura–Haldia branch line,22.221674/87.948672
762,KHIRAI,KHAI,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,ক্ষীরাই,,Kharagpur railway division,Howrah–Kharagpur line,22.374504/87.696628
763,KOLAGHAT,QGT,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,,,,,
764,KULGACHIA,KGY,,,KGP,SER,HOWRAH,WEST BENGAL,কুলগাছিয়া,1900,Kharagpur railway division,Howrah–Kharagpur line,22.472352/88.020395
765,MADPUR,MPD,,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,মাদপুর,,Kharagpur railway division,Howrah–Kharagpur line,22.369694/87.443268
766,MAHISADAL,MSDL,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,মহিষাদল,1968,Kharagpur railway division,Panskura–Haldia branch line,22.176299/88.010799
767,MAJU,MJH,,,KGP,SER,HOWRAH,WEST BENGAL,মাজু,,Kharagpur railway division,Santragachi-Amta Branch Line,22.6160758/88.0787364
768,MAURIGRAM,MRGM,,,KGP,SER,HOWRAH,WEST BENGAL,মৌড়ীগ্রাম,1900,Kharagpur railway division,Howrah–Kharagpur line,22.5798168/88.2556745
769,NALPUR,NALR,,,KGP,SER,HOWRAH,WEST BENGAL,নলপুর,1900,Kharagpur railway division,Howrah–Kharagpur line,22.529208/88.185699
770,NANDAIGAJAN P.H.,NDGJ,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,নন্দাইগাজন,,Kharagpur railway division,Howrah–Kharagpur line,22.404098/87.832458
771,NARAYAN PAKURIA MURA,NPMR,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,নারায়ণ পাকুড়িয়া মুড়াইল,,Kharagpur railway division,Howrah–Kharagpur line,22.399692/87.773985
772,RADHAMOHANPUR,RDU,,,KGP,SER,MEDINIPUR WEST,WEST BENGAL,রাধামোহনপুর,,Kharagpur railway division,Howrah–Kharagpur line,22.356484/87.612611
773,RAGHUNATHBARI,RGX,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,রঘুনাথবাড়ী,1968,Kharagpur railway division,Panskura–Haldia branch line,22.353228/87.797247
774,RAJAGODA,RGA,,,KGP,SER,MEDINIPUR EAST,WEST BENGAL,রাজগোদা,1968,Kharagpur railway division,Panskura–Haldia branch line,22.324313/87.866472
775,RAMRAJATALA,RMJ,,,KGP,SER,HOWRAH,WEST BENGAL,রামরাজাতলা,1900,Kharagpur railway division,Howrah–Kharagpur line,22.5893817/88.2967522
